joined,churned
2/17/18 19:49,9/3/18 14:43
6/2/18 14:47,9/2/18 16:47
6/8/18 0:14,7/8/18 0:14
2/28/17 22:04,8/4/17 22:03
8/9/17 20:41,9/9/17 20:41
11/7/17 2:53,12/7/17 2:53
7/31/18 5:18,8/31/18 7:18
10/2/17 2:45,11/2/17 2:45
1/19/18 5:52,2/19/18 5:52
8/2/18 16:33,9/2/18 16:33
5/9/17 20:33,10/9/17 20:33
3/9/18 10:02,4/9/18 10:02
4/13/18 17:58,5/13/18 17:58
5/27/18 8:46,8/27/18 10:46
11/9/17 3:02,12/9/17 3:02
11/28/17 4:11,11/28/17 5:02
1/16/18 20:47,5/11/18 0:36
4/21/17 17:48,4/22/17 9:02
12/22/17 9:21,3/20/18 3:31
12/18/17 1:35,3/18/18 0:35
10/6/17 15:17,12/6/17 16:17
7/19/18 3:05,8/19/18 3:05
11/3/17 9:08,9/3/18 9:08
11/13/17 2:28,12/20/17 2:27
1/16/18 5:11,2/16/18 5:10
1/22/18 3:43,7/29/18 3:42
12/9/17 22:05,7/16/18 22:05
4/29/18 4:12,5/29/18 4:12
2/25/18 16:19,5/25/18 16:19
4/2/18 9:22,5/2/18 9:22
6/19/18 17:03,8/19/18 19:02
7/11/17 2:00,8/11/17 2:00
8/2/17 12:56,9/2/17 12:56
11/14/17 21:50,2/14/18 21:50
7/11/18 18:44,8/11/18 18:44
9/21/17 10:02,3/21/18 10:02
7/25/18 3:48,8/25/18 3:48
12/16/17 8:38,1/16/18 8:38
4/25/18 15:55,5/25/18 15:55
6/19/18 14:47,7/19/18 14:47
4/14/18 17:45,5/14/18 17:45
12/1/17 15:37,2/2/18 22:17
3/20/18 21:44,4/27/18 21:44
2/12/18 15:34,8/12/18 17:34
5/4/17 5:18,6/4/17 5:18
12/13/17 14:47,8/28/18 8:31
11/18/17 11:51,1/23/18 11:15
9/1/17 5:31,9/1/18 8:06
12/1/17 12:44,1/1/18 12:44
4/6/17 4:30,8/6/18 4:29
3/17/18 23:32,4/17/18 23:32
10/15/17 23:33,5/15/18 23:33
3/6/17 12:34,11/13/17 12:33
7/9/17 2:30,2/9/18 2:29
5/26/18 0:10,8/27/18 23:26
2/12/18 11:05,9/5/18 12:26
4/30/18 1:02,8/25/18 22:39
3/10/18 19:18,4/10/18 18:18
3/29/18 0:26,8/13/18 1:57
3/28/18 7:40,4/28/18 7:40
3/25/18 4:03,5/25/18 4:03
6/10/16 11:38,7/10/16 14:25
8/23/17 18:04,9/23/17 18:04
11/3/17 22:58,12/3/17 23:58
8/23/17 12:50,9/30/17 12:50
5/29/18 3:01,6/29/18 3:01
5/14/18 11:57,6/21/18 11:56
5/6/18 13:11,8/6/18 13:11
6/14/17 12:53,7/21/17 12:48
11/24/17 19:12,8/24/18 21:11
4/7/18 3:33,4/9/18 4:01
6/2/18 12:49,7/2/18 12:49
7/15/18 16:19,8/15/18 16:18
1/22/18 7:04,2/22/18 7:04
9/10/17 9:18,10/10/17 9:18
11/19/17 7:45,1/26/18 7:45
11/2/17 0:06,6/9/18 0:03
11/21/17 1:08,12/21/17 1:08
10/7/17 1:18,2/7/18 1:18
1/8/17 5:16,3/8/17 5:16
9/18/17 16:20,10/18/17 16:20
10/7/17 18:35,11/7/17 19:35
7/30/17 18:39,8/30/17 18:37
12/4/17 7:33,1/4/18 7:33
2/7/18 21:09,3/7/18 21:09
3/9/18 19:09,5/9/18 18:09
6/22/18 5:12,7/22/18 5:12
11/11/17 12:56,2/11/18 12:56
6/28/18 2:52,7/28/18 2:52
1/23/18 4:20,2/23/18 4:20
4/5/18 2:43,5/5/18 2:43
1/18/18 8:11,4/18/18 8:06
3/3/18 15:56,4/3/18 14:56
9/5/17 19:39,2/14/18 21:11
12/2/17 12:39,3/2/18 12:39
11/5/17 18:32,12/5/17 18:32
3/26/18 0:36,4/26/18 0:36
11/20/17 8:44,2/21/18 8:46
4/19/18 12:41,8/19/18 14:41
4/17/17 6:18,10/24/17 6:18
7/6/18 2:16,8/7/18 4:16
10/3/17 22:30,12/4/17 19:47
7/16/18 21:23,8/16/18 21:23
3/26/17 17:22,5/3/17 17:22
8/3/18 10:14,9/3/18 12:13
6/22/18 18:59,7/22/18 18:59
11/27/17 20:01,12/27/17 20:01
12/17/17 21:57,3/10/18 0:59
12/31/17 0:35,2/7/18 0:35
9/3/17 7:56,10/3/17 7:55
6/12/18 3:37,8/12/18 3:37
9/29/17 5:45,12/6/17 19:28
1/25/18 5:49,8/25/18 7:45
7/25/17 22:31,11/5/17 7:25
11/30/17 1:01,1/30/18 1:00
7/27/18 5:57,8/27/18 5:57
5/4/17 16:53,8/11/17 16:52
2/3/18 18:26,3/3/18 18:25
2/26/18 7:19,3/26/18 7:18
4/26/17 19:50,9/2/17 19:49
7/18/18 17:23,8/18/18 17:23
7/28/18 13:15,8/28/18 13:15
9/28/17 22:24,11/4/17 22:24
6/24/18 13:00,7/24/18 13:00
6/22/18 11:14,7/22/18 11:14
7/3/18 19:38,9/3/18 19:38
3/25/18 8:22,4/25/18 8:22
2/26/18 4:39,8/26/18 6:38
12/22/17 23:02,2/22/18 23:02
6/25/18 9:41,8/25/18 9:41
9/15/17 12:07,11/15/17 12:07
7/20/18 22:42,8/20/18 22:42
6/26/17 13:17,9/2/17 13:17
7/17/18 13:37,8/17/18 13:37
3/4/18 23:10,4/4/18 23:10
5/2/18 4:11,6/2/18 4:11
3/16/18 13:51,4/16/18 13:51
4/29/17 1:26,11/29/17 2:26
5/18/17 13:54,8/18/17 13:53
2/26/18 5:38,8/2/18 21:03
3/26/17 7:23,4/26/17 7:22
3/15/18 3:03,7/15/18 3:03
5/22/17 20:01,6/22/17 20:01
6/6/17 18:34,7/6/17 18:33
2/18/18 1:17,3/18/18 0:17
9/12/17 23:58,5/29/18 14:50
11/27/17 20:28,1/28/18 16:04
11/2/17 1:32,12/2/17 2:32
9/5/17 4:57,10/5/17 4:56
10/15/17 18:10,8/15/18 20:09
1/31/18 4:28,3/1/18 4:28
11/25/17 4:43,12/25/17 4:43
5/24/18 9:55,6/24/18 9:55
7/4/17 9:57,8/4/17 9:56
2/1/18 4:36,3/1/18 4:36
4/25/18 22:26,5/25/18 22:26
5/27/18 0:46,8/27/18 2:46
4/4/18 18:58,4/4/18 19:29
1/3/18 16:56,8/3/18 15:56
4/28/18 3:41,6/28/18 22:36
4/5/18 3:23,5/5/18 3:23
7/9/18 11:32,8/9/18 13:31
6/30/18 22:21,8/30/18 22:21
7/11/17 4:57,8/11/18 6:55
3/31/17 5:04,4/30/17 5:04
3/24/17 22:54,4/30/17 10:20
7/30/18 0:25,8/30/18 0:25
5/19/18 3:42,6/19/18 3:42
1/18/18 13:42,3/25/18 13:42
12/31/17 20:46,1/31/18 20:45
9/7/17 6:14,10/7/17 6:14
4/29/18 23:54,6/29/18 23:54
1/12/18 14:03,2/12/18 14:03
2/4/18 19:32,3/4/18 19:32
8/22/17 21:24,9/22/17 21:24
4/19/17 14:41,7/26/17 14:41
3/25/18 5:15,7/30/18 14:09
7/28/18 7:17,8/28/18 7:17
8/3/17 16:34,9/3/17 16:34
1/17/18 6:06,8/17/18 5:06
8/30/17 23:28,9/30/17 23:28
1/28/18 15:50,2/28/18 15:50
2/19/17 19:17,3/26/17 19:17
5/6/18 3:37,7/6/18 3:37
7/27/18 23:46,8/27/18 23:46
4/29/18 19:19,5/29/18 19:19
9/13/17 7:39,3/7/18 6:15
12/28/17 12:29,1/28/18 12:29
11/3/17 12:47,6/29/18 18:56
5/11/17 3:02,3/7/18 5:02
11/16/17 15:49,12/23/17 15:49
6/1/17 16:32,7/1/17 16:32
11/20/17 17:50,12/20/17 17:50
5/25/18 12:42,6/25/18 12:42
6/26/17 23:15,7/27/17 14:29
5/5/17 10:06,7/24/17 17:29
12/23/17 11:08,1/30/18 11:07
2/27/18 23:29,8/28/18 1:28
1/13/18 15:39,8/13/18 14:39
3/21/18 12:39,4/21/18 12:39
6/5/18 12:11,7/5/18 12:11
9/27/17 22:39,10/27/17 22:39
7/21/18 15:54,8/21/18 15:54
3/27/18 5:01,4/27/18 5:01
5/30/17 4:31,11/6/17 4:31
3/16/18 0:58,8/16/18 2:57
10/11/17 16:59,12/12/17 1:17
2/26/18 6:15,3/26/18 6:15
3/17/18 17:44,4/17/18 17:44
10/3/17 9:58,12/10/17 9:58
5/27/17 3:02,8/3/17 3:02
5/26/18 7:29,6/26/18 7:29
12/7/17 12:29,1/14/18 12:29
1/18/18 19:27,2/18/18 19:27
4/19/18 0:35,5/19/18 0:35
5/23/18 14:06,6/23/18 14:06
7/13/18 18:24,8/13/18 18:24
2/24/18 10:52,7/24/18 9:52
1/22/18 11:06,2/22/18 11:06
3/9/17 8:05,2/24/18 16:37
12/17/17 6:18,5/17/18 5:23
4/17/18 23:32,8/17/18 23:32
10/11/17 22:14,11/11/17 22:14
2/23/18 15:27,3/23/18 14:27
8/19/17 16:39,12/26/17 16:39
12/22/17 2:13,1/22/18 2:13
2/17/18 16:48,3/17/18 15:48
5/19/18 14:31,6/19/18 14:31
7/22/17 7:22,11/29/17 7:21
12/3/17 8:15,6/27/18 5:00
12/12/17 18:42,1/12/18 18:42
7/7/18 10:01,8/7/18 10:00
11/26/17 11:08,12/26/17 11:08
2/22/18 5:54,3/22/18 4:54
12/10/16 20:49,1/10/17 20:49
1/6/18 15:54,9/6/18 14:54
7/21/18 0:45,8/21/18 0:44
12/8/17 2:37,8/8/18 4:36
6/9/17 23:31,7/9/17 23:31
9/6/17 13:17,10/6/17 13:17
6/30/17 22:52,7/30/17 22:51
7/16/18 6:54,8/16/18 6:54
11/16/17 5:05,4/16/18 5:05
4/19/17 17:21,6/26/17 17:21
1/27/18 8:13,3/6/18 8:13
2/15/18 22:45,3/15/18 22:45
5/14/18 16:54,6/14/18 16:54
1/31/18 20:02,3/7/18 20:02
1/11/18 5:11,2/11/18 5:11
8/9/16 0:00,9/9/16 0:00
10/26/17 8:44,11/26/17 8:43
5/29/17 0:29,6/29/17 0:29
5/6/18 8:05,9/6/18 10:05
2/3/18 6:40,3/10/18 6:40
6/29/18 23:14,7/29/18 23:14
12/23/17 18:37,2/26/18 14:41
10/22/17 23:22,8/22/18 23:22
8/4/17 18:21,9/4/18 20:21
11/1/17 17:19,12/1/17 18:19
5/10/18 2:56,8/10/18 2:56
6/20/18 4:22,7/20/18 4:22
7/24/18 3:57,8/24/18 3:57
12/13/17 21:21,5/13/18 20:21
11/10/17 0:33,3/10/18 0:33
5/16/17 0:28,8/22/17 3:11
7/20/18 21:34,8/20/18 21:34
5/5/18 7:10,6/5/18 7:10
3/29/17 11:52,5/5/17 14:32
11/21/17 2:49,12/21/17 2:49
12/11/17 0:34,1/11/18 0:34
10/29/17 12:44,11/29/17 12:43
10/7/17 14:35,8/8/18 23:54
4/20/18 22:07,5/20/18 22:07
7/5/18 16:27,8/5/18 16:27
10/1/17 18:06,11/8/17 18:06
10/28/17 1:27,1/28/18 1:27
6/5/18 6:57,8/5/18 6:57
10/21/17 12:57,5/21/18 12:56
12/29/17 13:42,1/29/18 13:42
11/11/17 16:25,12/11/17 16:25
1/9/18 7:19,2/9/18 7:19
11/2/17 8:39,6/4/18 1:07
10/5/17 1:18,11/5/17 1:18
4/23/18 18:14,8/23/18 20:13
11/9/17 4:59,2/9/18 4:59
10/6/17 17:37,11/6/17 18:37
3/9/18 23:06,4/9/18 22:06
5/27/18 17:43,6/27/18 17:43
5/29/18 18:31,8/29/18 18:31
11/17/17 7:59,2/17/18 7:59
2/9/18 3:15,3/9/18 3:15
3/6/17 20:07,4/6/17 20:07
3/20/18 7:02,8/20/18 7:02
10/11/17 17:49,11/11/17 17:48
3/29/18 12:56,8/29/18 14:55
10/6/17 22:57,11/6/17 23:57
11/18/17 4:21,12/18/17 4:21
10/22/17 3:30,11/22/17 4:30
7/26/18 11:56,8/26/18 11:56
5/16/18 16:56,6/16/18 16:55
9/3/17 21:37,10/3/17 21:37
7/21/17 20:37,7/5/18 18:21
11/30/16 20:21,7/30/17 19:21
12/7/17 18:55,1/7/18 18:55
4/30/17 3:54,12/25/17 17:20
7/19/17 16:56,1/19/18 17:56
6/18/18 7:39,7/18/18 7:39
11/25/17 19:25,1/25/18 19:25
6/20/18 13:36,7/20/18 13:36
12/7/17 2:07,1/7/18 2:07
7/20/17 1:06,8/20/17 1:06
2/18/18 3:02,8/18/18 2:02
1/27/18 7:28,8/21/18 9:28
2/28/18 5:34,3/28/18 4:34
5/23/17 17:34,6/23/17 17:33
3/19/18 22:25,4/26/18 22:25
7/5/18 6:34,8/5/18 6:34
12/18/17 4:52,2/18/18 4:52
8/1/17 15:20,9/1/18 17:19
9/29/17 5:20,5/28/18 5:19
2/28/18 3:02,5/28/18 3:02
3/31/18 17:13,4/30/18 17:13
6/5/18 10:26,9/5/18 12:25
9/27/17 1:39,10/27/17 1:39
12/13/17 19:05,3/22/18 8:39
5/22/18 16:31,8/22/18 16:31
3/7/18 22:49,4/7/18 22:49
1/19/18 18:05,5/19/18 17:05
2/8/18 9:08,3/8/18 9:08
3/25/18 8:29,9/3/18 10:30
5/7/18 3:39,8/7/18 3:39
9/15/17 12:34,10/15/17 12:34
5/1/17 20:51,6/1/17 20:51
12/3/17 5:31,9/3/18 7:31
7/31/18 5:27,8/31/18 5:27
1/23/18 3:31,6/2/18 14:38
8/2/18 3:11,9/2/18 5:11
9/29/17 15:23,8/6/18 12:01
5/8/18 19:02,6/8/18 19:02
4/5/18 9:07,5/5/18 9:07
10/20/17 2:12,11/20/17 2:12
7/19/17 6:00,8/19/17 6:00
9/10/17 0:19,10/10/17 0:19
3/8/17 7:00,4/8/17 7:00
5/20/18 14:05,6/20/18 14:05
7/28/18 21:36,8/28/18 21:36
7/25/18 11:17,8/25/18 11:17
6/20/18 5:49,8/20/18 5:48
10/10/17 14:34,7/10/18 14:34
4/28/18 18:50,8/7/18 20:50
3/21/18 13:59,4/28/18 13:58
8/1/17 13:45,9/8/17 13:45
6/11/17 6:23,7/11/17 6:22
7/11/18 3:58,8/11/18 5:58
5/15/17 19:48,6/15/17 19:48
10/20/17 17:03,11/20/17 18:03
1/11/18 8:18,2/11/18 8:18
12/4/17 19:45,1/4/18 19:45
11/29/17 22:48,12/29/17 22:48
6/10/17 8:10,6/12/18 2:14
10/15/17 11:11,11/15/17 12:11
11/16/17 22:32,12/16/17 22:32
5/1/17 21:12,6/1/17 21:12
5/18/18 21:53,6/18/18 21:53
7/23/17 4:59,2/8/18 17:32
9/19/17 6:58,10/19/17 6:58
3/11/18 3:18,7/23/18 15:18
11/9/16 21:27,3/9/17 21:27
3/15/18 22:19,9/4/18 20:29
7/23/18 9:03,8/23/18 11:02
12/31/17 18:39,2/28/18 18:39
4/13/17 11:27,8/13/18 13:26
5/29/18 4:59,9/4/18 21:23
6/2/17 6:15,7/2/17 6:15
11/24/17 12:03,12/24/17 12:03
6/24/18 22:48,8/25/18 0:48
5/29/18 6:20,6/29/18 6:20
9/8/17 22:00,12/8/17 23:00
4/22/18 5:45,5/22/18 5:45
6/25/18 5:10,7/25/18 5:10
5/28/18 16:00,6/28/18 16:00
4/24/18 21:48,5/24/18 21:48
5/16/18 1:43,8/16/18 1:43
6/7/18 4:58,8/7/18 6:58
3/31/17 13:19,5/30/17 13:19
5/18/18 2:25,6/18/18 2:24
10/13/17 7:20,11/13/17 8:20
12/28/17 4:52,1/28/18 4:52
9/25/17 11:44,10/25/17 11:44
4/25/18 10:09,5/25/18 10:06
4/2/17 17:22,6/2/17 17:21
12/17/17 9:33,4/17/18 9:33
9/4/17 21:55,1/4/18 22:55
10/22/17 6:17,11/22/17 7:17
6/29/17 12:01,8/5/17 12:01
1/3/18 7:35,2/3/18 7:35
12/3/17 9:31,2/10/18 9:31
11/28/17 5:05,8/4/18 5:05
4/7/18 23:59,8/18/18 20:02
5/30/18 4:39,6/30/18 4:39
11/23/17 8:54,8/23/18 7:54
6/24/18 14:09,7/24/18 14:09
6/29/18 16:02,8/29/18 18:01
3/9/17 1:58,4/9/17 1:58
7/8/18 14:38,8/8/18 14:38
12/1/17 17:56,2/1/18 17:56
5/12/18 3:14,6/12/18 3:14
10/7/17 8:49,11/7/17 8:49
11/24/17 10:46,12/31/17 10:45
1/17/18 10:18,4/19/18 12:31
7/3/18 17:07,9/3/18 17:07
6/23/18 16:11,7/23/18 16:11
2/25/18 15:36,3/25/18 14:36
10/25/17 9:36,11/25/17 10:36
5/13/18 21:28,6/13/18 21:28
7/4/18 17:13,8/4/18 17:12
12/21/17 9:30,1/21/18 9:30
1/13/18 23:15,2/13/18 23:15
10/26/17 1:36,5/3/18 1:35
2/26/18 6:11,3/26/18 5:11
4/13/17 20:17,6/13/17 20:16
12/2/17 4:27,1/9/18 4:27
3/22/18 7:49,4/22/18 7:49
2/17/18 20:47,8/17/18 22:47
1/28/18 17:33,2/28/18 17:33
2/26/18 0:21,3/26/18 0:21
9/21/17 12:17,10/21/17 12:17
12/18/17 0:40,8/17/18 23:40
7/12/18 11:09,8/12/18 11:09
6/30/18 14:45,8/30/18 14:45
7/15/18 12:13,8/15/18 12:13
6/29/18 14:57,7/29/18 14:57
9/4/17 17:50,7/11/18 17:50
7/10/17 8:47,8/12/18 21:24
11/29/17 23:33,12/29/17 23:33
12/21/17 14:21,1/21/18 14:21
4/7/18 16:48,5/7/18 16:48
4/3/18 3:19,6/30/18 23:56
4/1/18 21:05,5/1/18 21:05
9/23/17 18:54,12/29/17 20:38
12/6/17 3:47,7/13/18 3:46
5/11/17 12:55,9/11/17 12:53
12/28/17 15:25,1/28/18 15:25
1/26/18 13:16,2/26/18 13:16
3/20/18 13:39,4/20/18 13:39
10/15/17 9:53,11/15/17 9:53
1/23/18 5:14,2/23/18 5:14
10/11/17 5:43,8/11/18 7:43
8/30/17 10:17,5/28/18 10:17
9/2/17 19:45,11/2/17 19:44
12/24/17 3:12,1/24/18 3:11
3/26/18 15:57,4/26/18 15:57
8/30/17 17:31,9/30/17 17:30
8/28/17 1:07,11/18/17 11:29
12/2/17 13:25,1/2/18 13:24
5/11/18 6:34,7/11/18 6:34
4/3/18 20:36,9/3/18 20:36
12/27/17 17:17,1/27/18 17:17
10/23/16 12:59,5/25/18 13:40
3/25/17 4:58,7/8/18 11:12
12/23/17 6:47,1/30/18 6:46
2/17/18 7:30,5/1/18 10:40
3/20/18 11:28,7/22/18 0:29
4/24/18 3:02,8/24/18 3:02
5/4/17 5:27,6/4/17 5:27
8/5/18 17:21,9/5/18 17:21
6/30/16 15:34,7/30/16 15:34
5/2/17 1:13,6/2/17 1:13
12/29/17 21:23,1/29/18 21:22
8/5/18 7:31,9/5/18 7:31
6/23/17 16:08,8/13/18 18:13
1/13/18 1:13,2/13/18 1:13
8/17/17 18:05,9/17/17 18:04
4/5/18 3:52,5/5/18 3:52
3/29/17 16:32,4/30/17 17:03
1/3/18 7:53,2/3/18 7:53
5/8/18 20:03,7/8/18 20:03
3/22/18 2:09,4/22/18 2:09
11/8/17 11:38,12/8/17 11:38
6/22/17 1:11,1/22/18 1:11
3/4/17 1:56,7/4/17 1:55
5/13/18 21:28,6/13/18 21:28
1/21/18 9:36,2/21/18 9:36
1/3/18 23:03,8/31/18 1:19
6/6/18 21:46,7/6/18 21:46
8/29/17 18:39,10/29/17 18:38
11/30/17 12:50,12/30/17 12:50
5/1/17 1:54,6/8/17 1:53
12/23/17 2:45,1/23/18 2:45
11/8/17 20:40,12/8/17 20:40
8/1/18 21:52,9/1/18 21:52
3/27/18 23:08,4/27/18 23:08
5/10/17 11:54,7/10/17 11:54
2/21/18 2:25,3/21/18 2:24
7/18/18 10:58,8/18/18 12:57
2/23/18 15:29,3/30/18 15:28
10/2/17 13:37,11/2/17 13:37
11/28/17 14:29,12/28/17 14:29
2/1/18 18:12,9/1/18 17:12
2/21/18 13:47,4/21/18 13:47
8/3/17 18:46,9/3/17 18:46
6/9/17 3:26,9/9/17 3:26
10/29/17 3:12,8/31/18 1:52
10/15/17 12:47,11/15/17 13:47
3/12/18 19:55,5/12/18 19:55
4/1/18 13:26,5/1/18 13:26
3/2/18 20:18,4/2/18 19:18
5/13/18 8:14,8/13/18 8:14
6/24/18 21:47,8/24/18 21:47
1/20/18 7:48,2/20/18 7:48
7/1/18 15:27,9/1/18 17:26
4/16/18 15:06,5/16/18 15:06
6/25/18 23:22,7/25/18 23:22
2/8/18 15:10,5/8/18 15:10
4/26/18 12:20,8/15/18 14:20
7/6/18 13:41,9/6/18 15:40
3/14/17 22:43,4/14/17 22:42
4/11/17 22:23,8/12/18 0:22
8/10/17 15:27,1/17/18 15:27
1/26/18 8:07,3/26/18 8:07
3/23/18 13:56,8/25/18 2:47
5/20/18 7:54,6/20/18 7:53
4/17/17 2:50,5/17/17 2:50
4/18/18 8:07,8/18/18 10:07
3/8/18 13:51,5/8/18 13:51
7/17/17 15:58,12/17/17 15:57
3/23/18 20:35,4/23/18 20:35
6/5/17 19:51,7/5/17 19:50
1/15/18 23:55,2/15/18 23:55
2/18/18 15:19,5/12/18 19:20
3/15/17 21:54,5/22/17 21:54
1/8/18 9:17,8/25/18 0:02
10/24/17 12:59,11/24/17 13:59
12/3/17 20:42,1/3/18 20:42
7/21/17 10:32,8/21/17 10:31
2/13/18 6:20,3/13/18 5:20
7/24/17 4:42,8/24/17 4:42
4/21/17 2:26,5/21/17 2:25
11/17/17 21:30,12/17/17 21:29
3/23/17 14:27,4/23/17 14:27
5/4/17 22:28,6/4/17 22:27
8/12/17 0:22,9/12/17 0:22
